sentence,class
If Ian lives in India then Ian lives in Asia,1
If Ian lives in Aheri then Ian lives in Maharashtra and If Ian lives in Aheri then Ian lives in India,2
If Ian lives in Aheri then Ian lives in Maharashtra or If Ian lives in Aheri then Ian lives in India,3
If Ian lives in Aheri then Ian lives in India and If Ian lives in Maharashtra then Ian lives in India,4
If Ian lives in Aheri then Ian lives in Asia and If Ian lives in Maharashtra then Ian lives in Asia,4
If Ian lives in Aheri then Ian lives in India or If Ian lives in Maharashtra then Ian lives in India,5
If Ian lives in Aheri then Ian lives in Asia or If Ian lives in Maharashtra then Ian lives in Asia,5
If Oscar lives in Ahmadpur then Oscar lives in Maharashtra,1
If Oscar lives in Ahmadpur then Oscar lives in India,1
If Oscar lives in Ahmadpur then Oscar lives in Asia,1
If Oscar lives in Maharashtra then Oscar lives in India,1
If Oscar lives in Maharashtra then Oscar lives in Asia,1
If Oscar lives in India then Oscar lives in Asia,1
If Oscar lives in Ahmadpur then Oscar lives in Maharashtra and If Oscar lives in Ahmadpur then Oscar lives in India,2
If Oscar lives in Ahmadpur then Oscar lives in Maharashtra or If Oscar lives in Ahmadpur then Oscar lives in India,3
If Oscar lives in Ahmadpur then Oscar lives in India and If Oscar lives in Maharashtra then Oscar lives in India,4
If Oscar lives in Ahmadpur then Oscar lives in Asia and If Oscar lives in Maharashtra then Oscar lives in Asia,4
If Oscar lives in Ahmadpur then Oscar lives in India or If Oscar lives in Maharashtra then Oscar lives in India,5
If Oscar lives in Ahmadpur then Oscar lives in Asia or If Oscar lives in Maharashtra then Oscar lives in Asia,5
If Kevin lives in Ahmednagar then Kevin lives in Maharashtra,1
If Kevin lives in Ahmednagar then Kevin lives in India,1
If Kevin lives in Ahmednagar then Kevin lives in Asia,1
If Kevin lives in Maharashtra then Kevin lives in India,1
If Kevin lives in Maharashtra then Kevin lives in Asia,1
If Kevin lives in India then Kevin lives in Asia,1
If Kevin lives in Ahmednagar then Kevin lives in Maharashtra and If Kevin lives in Ahmednagar then Kevin lives in India,2
If Kevin lives in Ahmednagar then Kevin lives in Maharashtra or If Kevin lives in Ahmednagar then Kevin lives in India,3
If Kevin lives in Ahmednagar then Kevin lives in India and If Kevin lives in Maharashtra then Kevin lives in India,4
If Kevin lives in Ahmednagar then Kevin lives in Asia and If Kevin lives in Maharashtra then Kevin lives in Asia,4
If Kevin lives in Ahmednagar then Kevin lives in India or If Kevin lives in Maharashtra then Kevin lives in India,5
If Kevin lives in Ahmednagar then Kevin lives in Asia or If Kevin lives in Maharashtra then Kevin lives in Asia,5
If Vera lives in Airoli then Vera lives in Maharashtra,1
If Vera lives in Airoli then Vera lives in India,1
If Vera lives in Airoli then Vera lives in Asia,1
If Vera lives in Maharashtra then Vera lives in India,1
If Vera lives in Maharashtra then Vera lives in Asia,1
If Vera lives in India then Vera lives in Asia,1
If Vera lives in Airoli then Vera lives in Maharashtra and If Vera lives in Airoli then Vera lives in India,2
If Vera lives in Airoli then Vera lives in Maharashtra or If Vera lives in Airoli then Vera lives in India,3
If Vera lives in Airoli then Vera lives in India and If Vera lives in Maharashtra then Vera lives in India,4
If Vera lives in Airoli then Vera lives in Asia and If Vera lives in Maharashtra then Vera lives in Asia,4
If Vera lives in Airoli then Vera lives in India or If Vera lives in Maharashtra then Vera lives in India,5
If Vera lives in Airoli then Vera lives in Asia or If Vera lives in Maharashtra then Vera lives in Asia,5
If Fiona lives in Ajara then Fiona lives in Maharashtra,1
If Fiona lives in Ajara then Fiona lives in India,1
If Fiona lives in Ajara then Fiona lives in Asia,1
If Fiona lives in Maharashtra then Fiona lives in India,1
If Fiona lives in Maharashtra then Fiona lives in Asia,1
If Fiona lives in India then Fiona lives in Asia,1
If Fiona lives in Ajara then Fiona lives in Maharashtra and If Fiona lives in Ajara then Fiona lives in India,2
If Fiona lives in Ajara then Fiona lives in Maharashtra or If Fiona lives in Ajara then Fiona lives in India,3
If Fiona lives in Ajara then Fiona lives in India and If Fiona lives in Maharashtra then Fiona lives in India,4
If Fiona lives in Ajara then Fiona lives in Asia and If Fiona lives in Maharashtra then Fiona lives in Asia,4
If Fiona lives in Ajara then Fiona lives in India or If Fiona lives in Maharashtra then Fiona lives in India,5
If Fiona lives in Ajara then Fiona lives in Asia or If Fiona lives in Maharashtra then Fiona lives in Asia,5
If Kevin lives in Akalkot then Kevin lives in Maharashtra,1
If Kevin lives in Akalkot then Kevin lives in India,1
If Kevin lives in Akalkot then Kevin lives in Asia,1
If Kevin lives in Maharashtra then Kevin lives in India,1
If Kevin lives in Maharashtra then Kevin lives in Asia,1
If Kevin lives in India then Kevin lives in Asia,1
If Kevin lives in Akalkot then Kevin lives in Maharashtra and If Kevin lives in Akalkot then Kevin lives in India,2
If Kevin lives in Akalkot then Kevin lives in Maharashtra or If Kevin lives in Akalkot then Kevin lives in India,3
If Kevin lives in Akalkot then Kevin lives in India and If Kevin lives in Maharashtra then Kevin lives in India,4
If Kevin lives in Akalkot then Kevin lives in Asia and If Kevin lives in Maharashtra then Kevin lives in Asia,4
If Kevin lives in Akalkot then Kevin lives in India or If Kevin lives in Maharashtra then Kevin lives in India,5
If Kevin lives in Akalkot then Kevin lives in Asia or If Kevin lives in Maharashtra then Kevin lives in Asia,5
If Paula lives in Akluj then Paula lives in Maharashtra,1
If Paula lives in Akluj then Paula lives in India,1
If Paula lives in Akluj then Paula lives in Asia,1
If Paula lives in Maharashtra then Paula lives in India,1
If Paula lives in Maharashtra then Paula lives in Asia,1
If Paula lives in India then Paula lives in Asia,1
If Paula lives in Akluj then Paula lives in Maharashtra and If Paula lives in Akluj then Paula lives in India,2
If Paula lives in Akluj then Paula lives in Maharashtra or If Paula lives in Akluj then Paula lives in India,3
If Paula lives in Akluj then Paula lives in India and If Paula lives in Maharashtra then Paula lives in India,4
If Paula lives in Akluj then Paula lives in Asia and If Paula lives in Maharashtra then Paula lives in Asia,4
If Paula lives in Akluj then Paula lives in India or If Paula lives in Maharashtra then Paula lives in India,5
If Paula lives in Akluj then Paula lives in Asia or If Paula lives in Maharashtra then Paula lives in Asia,5
If Xena lives in Akola then Xena lives in Maharashtra,1
If Xena lives in Akola then Xena lives in India,1
If Xena lives in Akola then Xena lives in Asia,1
If Xena lives in Maharashtra then Xena lives in India,1
If Xena lives in Maharashtra then Xena lives in Asia,1
If Xena lives in India then Xena lives in Asia,1
If Xena lives in Akola then Xena lives in Maharashtra and If Xena lives in Akola then Xena lives in India,2
If Xena lives in Akola then Xena lives in Maharashtra or If Xena lives in Akola then Xena lives in India,3
If Xena lives in Akola then Xena lives in India and If Xena lives in Maharashtra then Xena lives in India,4
If Xena lives in Akola then Xena lives in Asia and If Xena lives in Maharashtra then Xena lives in Asia,4
If Xena lives in Akola then Xena lives in India or If Xena lives in Maharashtra then Xena lives in India,5
If Xena lives in Akola then Xena lives in Asia or If Xena lives in Maharashtra then Xena lives in Asia,5
If Diana lives in Akolner then Diana lives in Maharashtra,1
If Diana lives in Akolner then Diana lives in India,1
If Diana lives in Akolner then Diana lives in Asia,1
If Diana lives in Maharashtra then Diana lives in India,1
If Diana lives in Maharashtra then Diana lives in Asia,1
If Diana lives in India then Diana lives in Asia,1
If Diana lives in Akolner then Diana lives in Maharashtra and If Diana lives in Akolner then Diana lives in India,2
If Diana lives in Akolner then Diana lives in Maharashtra or If Diana lives in Akolner then Diana lives in India,3
If Diana lives in Akolner then Diana lives in India and If Diana lives in Maharashtra then Diana lives in India,4
If Diana lives in Akolner then Diana lives in Asia and If Diana lives in Maharashtra then Diana lives in Asia,4
If Diana lives in Akolner then Diana lives in India or If Diana lives in Maharashtra then Diana lives in India,5
If Diana lives in Akolner then Diana lives in Asia or If Diana lives in Maharashtra then Diana lives in Asia,5
If Zane lives in Akot then Zane lives in Maharashtra,1
If Zane lives in Akot then Zane lives in India,1
If Zane lives in Akot then Zane lives in Asia,1
If Zane lives in Maharashtra then Zane lives in India,1
If Zane lives in Maharashtra then Zane lives in Asia,1
If Zane lives in India then Zane lives in Asia,1
If Zane lives in Akot then Zane lives in Maharashtra and If Zane lives in Akot then Zane lives in India,2
If Zane lives in Akot then Zane lives in Maharashtra or If Zane lives in Akot then Zane lives in India,3
If Zane lives in Akot then Zane lives in India and If Zane lives in Maharashtra then Zane lives in India,4
If Zane lives in Akot then Zane lives in Asia and If Zane lives in Maharashtra then Zane lives in Asia,4
If Zane lives in Akot then Zane lives in India or If Zane lives in Maharashtra then Zane lives in India,5
If Zane lives in Akot then Zane lives in Asia or If Zane lives in Maharashtra then Zane lives in Asia,5
If Kevin lives in Akrani then Kevin lives in Maharashtra,1
If Kevin lives in Akrani then Kevin lives in India,1
If Kevin lives in Akrani then Kevin lives in Asia,1
If Kevin lives in Maharashtra then Kevin lives in India,1
If Kevin lives in Maharashtra then Kevin lives in Asia,1
If Kevin lives in India then Kevin lives in Asia,1
If Kevin lives in Akrani then Kevin lives in Maharashtra and If Kevin lives in Akrani then Kevin lives in India,2
If Kevin lives in Akrani then Kevin lives in Maharashtra or If Kevin lives in Akrani then Kevin lives in India,3
If Kevin lives in Akrani then Kevin lives in India and If Kevin lives in Maharashtra then Kevin lives in India,4
If Kevin lives in Akrani then Kevin lives in Asia and If Kevin lives in Maharashtra then Kevin lives in Asia,4
If Kevin lives in Akrani then Kevin lives in India or If Kevin lives in Maharashtra then Kevin lives in India,5
If Kevin lives in Akrani then Kevin lives in Asia or If Kevin lives in Maharashtra then Kevin lives in Asia,5
If Diana lives in Alandi then Diana lives in Maharashtra,1
If Diana lives in Alandi then Diana lives in India,1
If Diana lives in Alandi then Diana lives in Asia,1
If Diana lives in Maharashtra then Diana lives in India,1
If Diana lives in Maharashtra then Diana lives in Asia,1
If Diana lives in India then Diana lives in Asia,1
If Diana lives in Alandi then Diana lives in Maharashtra and If Diana lives in Alandi then Diana lives in India,2
If Diana lives in Alandi then Diana lives in Maharashtra or If Diana lives in Alandi then Diana lives in India,3
If Diana lives in Alandi then Diana lives in India and If Diana lives in Maharashtra then Diana lives in India,4
If Diana lives in Alandi then Diana lives in Asia and If Diana lives in Maharashtra then Diana lives in Asia,4
If Diana lives in Alandi then Diana lives in India or If Diana lives in Maharashtra then Diana lives in India,5
If Diana lives in Alandi then Diana lives in Asia or If Diana lives in Maharashtra then Diana lives in Asia,5
If Walter lives in Ale then Walter lives in Maharashtra,1
If Walter lives in Ale then Walter lives in India,1
If Walter lives in Ale then Walter lives in Asia,1
If Walter lives in Maharashtra then Walter lives in India,1
If Walter lives in Maharashtra then Walter lives in Asia,1
If Walter lives in India then Walter lives in Asia,1
If Walter lives in Ale then Walter lives in Maharashtra and If Walter lives in Ale then Walter lives in India,2
If Walter lives in Ale then Walter lives in Maharashtra or If Walter lives in Ale then Walter lives in India,3
If Walter lives in Ale then Walter lives in India and If Walter lives in Maharashtra then Walter lives in India,4
If Walter lives in Ale then Walter lives in Asia and If Walter lives in Maharashtra then Walter lives in Asia,4
If Walter lives in Ale then Walter lives in India or If Walter lives in Maharashtra then Walter lives in India,5
If Walter lives in Ale then Walter lives in Asia or If Walter lives in Maharashtra then Walter lives in Asia,5
If Julia lives in Alibag then Julia lives in Maharashtra,1
If Julia lives in Alibag then Julia lives in India,1
If Julia lives in Alibag then Julia lives in Asia,1
If Julia lives in Maharashtra then Julia lives in India,1
If Julia lives in Maharashtra then Julia lives in Asia,1
If Julia lives in India then Julia lives in Asia,1
If Julia lives in Alibag then Julia lives in Maharashtra and If Julia lives in Alibag then Julia lives in India,2
If Julia lives in Alibag then Julia lives in Maharashtra or If Julia lives in Alibag then Julia lives in India,3
If Julia lives in Alibag then Julia lives in India and If Julia lives in Maharashtra then Julia lives in India,4
If Julia lives in Alibag then Julia lives in Asia and If Julia lives in Maharashtra then Julia lives in Asia,4
If Julia lives in Alibag then Julia lives in India or If Julia lives in Maharashtra then Julia lives in India,5
If Julia lives in Alibag then Julia lives in Asia or If Julia lives in Maharashtra then Julia lives in Asia,5
If Zane lives in Alkuti then Zane lives in Maharashtra,1
If Zane lives in Alkuti then Zane lives in India,1
If Zane lives in Alkuti then Zane lives in Asia,1
If Zane lives in Maharashtra then Zane lives in India,1
If Zane lives in Maharashtra then Zane lives in Asia,1
If Zane lives in India then Zane lives in Asia,1
If Zane lives in Alkuti then Zane lives in Maharashtra and If Zane lives in Alkuti then Zane lives in India,2
If Zane lives in Alkuti then Zane lives in Maharashtra or If Zane lives in Alkuti then Zane lives in India,3
If Zane lives in Alkuti then Zane lives in India and If Zane lives in Maharashtra then Zane lives in India,4
If Zane lives in Alkuti then Zane lives in Asia and If Zane lives in Maharashtra then Zane lives in Asia,4
If Zane lives in Alkuti then Zane lives in India or If Zane lives in Maharashtra then Zane lives in India,5
If Zane lives in Alkuti then Zane lives in Asia or If Zane lives in Maharashtra then Zane lives in Asia,5
If Oscar lives in Allapalli then Oscar lives in Maharashtra,1
If Oscar lives in Allapalli then Oscar lives in India,1
If Oscar lives in Allapalli then Oscar lives in Asia,1
If Oscar lives in Maharashtra then Oscar lives in India,1
If Oscar lives in Maharashtra then Oscar lives in Asia,1
If Oscar lives in India then Oscar lives in Asia,1
If Oscar lives in Allapalli then Oscar lives in Maharashtra and If Oscar lives in Allapalli then Oscar lives in India,2
If Oscar lives in Allapalli then Oscar lives in Maharashtra or If Oscar lives in Allapalli then Oscar lives in India,3
If Oscar lives in Allapalli then Oscar lives in India and If Oscar lives in Maharashtra then Oscar lives in India,4
If Oscar lives in Allapalli then Oscar lives in Asia and If Oscar lives in Maharashtra then Oscar lives in Asia,4
If Oscar lives in Allapalli then Oscar lives in India or If Oscar lives in Maharashtra then Oscar lives in India,5
If Oscar lives in Allapalli then Oscar lives in Asia or If Oscar lives in Maharashtra then Oscar lives in Asia,5
If Hannah lives in Amalner then Hannah lives in Maharashtra,1
If Hannah lives in Amalner then Hannah lives in India,1
If Hannah lives in Amalner then Hannah lives in Asia,1
If Hannah lives in Maharashtra then Hannah lives in India,1
If Hannah lives in Maharashtra then Hannah lives in Asia,1
If Hannah lives in India then Hannah lives in Asia,1
If Hannah lives in Amalner then Hannah lives in Maharashtra and If Hannah lives in Amalner then Hannah lives in India,2
If Hannah lives in Amalner then Hannah lives in Maharashtra or If Hannah lives in Amalner then Hannah lives in India,3
If Hannah lives in Amalner then Hannah lives in India and If Hannah lives in Maharashtra then Hannah lives in India,4
If Hannah lives in Amalner then Hannah lives in Asia and If Hannah lives in Maharashtra then Hannah lives in Asia,4
If Hannah lives in Amalner then Hannah lives in India or If Hannah lives in Maharashtra then Hannah lives in India,5
If Hannah lives in Amalner then Hannah lives in Asia or If Hannah lives in Maharashtra then Hannah lives in Asia,5
If Kevin lives in Amarnath then Kevin lives in Maharashtra,1
If Kevin lives in Amarnath then Kevin lives in India,1
If Kevin lives in Amarnath then Kevin lives in Asia,1
If Kevin lives in Maharashtra then Kevin lives in India,1
If Kevin lives in Maharashtra then Kevin lives in Asia,1
If Kevin lives in India then Kevin lives in Asia,1
If Kevin lives in Amarnath then Kevin lives in Maharashtra and If Kevin lives in Amarnath then Kevin lives in India,2
If Kevin lives in Amarnath then Kevin lives in Maharashtra or If Kevin lives in Amarnath then Kevin lives in India,3
If Kevin lives in Amarnath then Kevin lives in India and If Kevin lives in Maharashtra then Kevin lives in India,4
If Kevin lives in Amarnath then Kevin lives in Asia and If Kevin lives in Maharashtra then Kevin lives in Asia,4
If Kevin lives in Amarnath then Kevin lives in India or If Kevin lives in Maharashtra then Kevin lives in India,5
If Kevin lives in Amarnath then Kevin lives in Asia or If Kevin lives in Maharashtra then Kevin lives in Asia,5
If Alice lives in Ambad then Alice lives in Maharashtra,1
If Alice lives in Ambad then Alice lives in India,1
If Alice lives in Ambad then Alice lives in Asia,1
If Alice lives in Maharashtra then Alice lives in India,1
If Alice lives in Maharashtra then Alice lives in Asia,1
If Alice lives in India then Alice lives in Asia,1
If Alice lives in Ambad then Alice lives in Maharashtra and If Alice lives in Ambad then Alice lives in India,2
If Alice lives in Ambad then Alice lives in Maharashtra or If Alice lives in Ambad then Alice lives in India,3
If Alice lives in Ambad then Alice lives in India and If Alice lives in Maharashtra then Alice lives in India,4
If Alice lives in Ambad then Alice lives in Asia and If Alice lives in Maharashtra then Alice lives in Asia,4
If Alice lives in Ambad then Alice lives in India or If Alice lives in Maharashtra then Alice lives in India,5
If Alice lives in Ambad then Alice lives in Asia or If Alice lives in Maharashtra then Alice lives in Asia,5
If Paula lives in Ambajogai then Paula lives in Maharashtra,1
If Paula lives in Ambajogai then Paula lives in India,1
If Paula lives in Ambajogai then Paula lives in Asia,1
If Paula lives in Maharashtra then Paula lives in India,1
If Paula lives in Maharashtra then Paula lives in Asia,1
If Paula lives in India then Paula lives in Asia,1
If Paula lives in Ambajogai then Paula lives in Maharashtra and If Paula lives in Ambajogai then Paula lives in India,2
If Paula lives in Ambajogai then Paula lives in Maharashtra or If Paula lives in Ambajogai then Paula lives in India,3
If Paula lives in Ambajogai then Paula lives in India and If Paula lives in Maharashtra then Paula lives in India,4
If Paula lives in Ambajogai then Paula lives in Asia and If Paula lives in Maharashtra then Paula lives in Asia,4
If Paula lives in Ambajogai then Paula lives in India or If Paula lives in Maharashtra then Paula lives in India,5
If Paula lives in Ambajogai then Paula lives in Asia or If Paula lives in Maharashtra then Paula lives in Asia,5
If Alice lives in Ambegaon then Alice lives in Maharashtra,1
If Alice lives in Ambegaon then Alice lives in India,1
If Alice lives in Ambegaon then Alice lives in Asia,1
If Alice lives in Maharashtra then Alice lives in India,1
If Alice lives in Maharashtra then Alice lives in Asia,1
If Alice lives in India then Alice lives in Asia,1
If Alice lives in Ambegaon then Alice lives in Maharashtra and If Alice lives in Ambegaon then Alice lives in India,2
If Alice lives in Ambegaon then Alice lives in Maharashtra or If Alice lives in Ambegaon then Alice lives in India,3
If Alice lives in Ambegaon then Alice lives in India and If Alice lives in Maharashtra then Alice lives in India,4
If Alice lives in Ambegaon then Alice lives in Asia and If Alice lives in Maharashtra then Alice lives in Asia,4
If Alice lives in Ambegaon then Alice lives in India or If Alice lives in Maharashtra then Alice lives in India,5
If Alice lives in Ambegaon then Alice lives in Asia or If Alice lives in Maharashtra then Alice lives in Asia,5
If Charlie lives in Ambernath then Charlie lives in Maharashtra,1
If Charlie lives in Ambernath then Charlie lives in India,1
If Charlie lives in Ambernath then Charlie lives in Asia,1
If Charlie lives in Maharashtra then Charlie lives in India,1
If Charlie lives in Maharashtra then Charlie lives in Asia,1
If Charlie lives in India then Charlie lives in Asia,1
If Charlie lives in Ambernath then Charlie lives in Maharashtra and If Charlie lives in Ambernath then Charlie lives in India,2
If Charlie lives in Ambernath then Charlie lives in Maharashtra or If Charlie lives in Ambernath then Charlie lives in India,3
If Charlie lives in Ambernath then Charlie lives in India and If Charlie lives in Maharashtra then Charlie lives in India,4
If Charlie lives in Ambernath then Charlie lives in Asia and If Charlie lives in Maharashtra then Charlie lives in Asia,4
If Charlie lives in Ambernath then Charlie lives in India or If Charlie lives in Maharashtra then Charlie lives in India,5
If Charlie lives in Ambernath then Charlie lives in Asia or If Charlie lives in Maharashtra then Charlie lives in Asia,5
If Vera lives in Amgaon then Vera lives in Maharashtra,1
If Vera lives in Amgaon then Vera lives in India,1
If Vera lives in Amgaon then Vera lives in Asia,1
If Vera lives in Maharashtra then Vera lives in India,1
If Vera lives in Maharashtra then Vera lives in Asia,1
If Vera lives in India then Vera lives in Asia,1
If Vera lives in Amgaon then Vera lives in Maharashtra and If Vera lives in Amgaon then Vera lives in India,2
If Vera lives in Amgaon then Vera lives in Maharashtra or If Vera lives in Amgaon then Vera lives in India,3
If Vera lives in Amgaon then Vera lives in India and If Vera lives in Maharashtra then Vera lives in India,4
If Vera lives in Amgaon then Vera lives in Asia and If Vera lives in Maharashtra then Vera lives in Asia,4
If Vera lives in Amgaon then Vera lives in India or If Vera lives in Maharashtra then Vera lives in India,5
If Vera lives in Amgaon then Vera lives in Asia or If Vera lives in Maharashtra then Vera lives in Asia,5
If Xena lives in Amravati then Xena lives in Maharashtra,1
If Xena lives in Amravati then Xena lives in India,1
If Xena lives in Amravati then Xena lives in Asia,1
If Xena lives in Maharashtra then Xena lives in India,1
If Xena lives in Maharashtra then Xena lives in Asia,1
If Xena lives in India then Xena lives in Asia,1
If Xena lives in Amravati then Xena lives in Maharashtra and If Xena lives in Amravati then Xena lives in India,2
If Xena lives in Amravati then Xena lives in Maharashtra or If Xena lives in Amravati then Xena lives in India,3
If Xena lives in Amravati then Xena lives in India and If Xena lives in Maharashtra then Xena lives in India,4
If Xena lives in Amravati then Xena lives in Asia and If Xena lives in Maharashtra then Xena lives in Asia,4
If Xena lives in Amravati then Xena lives in India or If Xena lives in Maharashtra then Xena lives in India,5
If Xena lives in Amravati then Xena lives in Asia or If Xena lives in Maharashtra then Xena lives in Asia,5
If Nina lives in Andheri then Nina lives in Maharashtra,1
If Nina lives in Andheri then Nina lives in India,1
If Nina lives in Andheri then Nina lives in Asia,1
If Nina lives in Maharashtra then Nina lives in India,1
If Nina lives in Maharashtra then Nina lives in Asia,1
If Nina lives in India then Nina lives in Asia,1
If Nina lives in Andheri then Nina lives in Maharashtra and If Nina lives in Andheri then Nina lives in India,2
If Nina lives in Andheri then Nina lives in Maharashtra or If Nina lives in Andheri then Nina lives in India,3
If Nina lives in Andheri then Nina lives in India and If Nina lives in Maharashtra then Nina lives in India,4
If Nina lives in Andheri then Nina lives in Asia and If Nina lives in Maharashtra then Nina lives in Asia,4
If Nina lives in Andheri then Nina lives in India or If Nina lives in Maharashtra then Nina lives in India,5
If Nina lives in Andheri then Nina lives in Asia or If Nina lives in Maharashtra then Nina lives in Asia,5
If Bob lives in Andura then Bob lives in Maharashtra,1
If Bob lives in Andura then Bob lives in India,1
If Bob lives in Andura then Bob lives in Asia,1
If Bob lives in Maharashtra then Bob lives in India,1
If Bob lives in Maharashtra then Bob lives in Asia,1
If Bob lives in India then Bob lives in Asia,1
If Bob lives in Andura then Bob lives in Maharashtra and If Bob lives in Andura then Bob lives in India,2
If Bob lives in Andura then Bob lives in Maharashtra or If Bob lives in Andura then Bob lives in India,3
If Bob lives in Andura then Bob lives in India and If Bob lives in Maharashtra then Bob lives in India,4
If Bob lives in Andura then Bob lives in Asia and If Bob lives in Maharashtra then Bob lives in Asia,4
If Bob lives in Andura then Bob lives in India or If Bob lives in Maharashtra then Bob lives in India,5
If Bob lives in Andura then Bob lives in Asia or If Bob lives in Maharashtra then Bob lives in Asia,5
If Fiona lives in Anjangaon then Fiona lives in Maharashtra,1
If Fiona lives in Anjangaon then Fiona lives in India,1
If Fiona lives in Anjangaon then Fiona lives in Asia,1
If Fiona lives in Maharashtra then Fiona lives in India,1
If Fiona lives in Maharashtra then Fiona lives in Asia,1
If Fiona lives in India then Fiona lives in Asia,1
If Fiona lives in Anjangaon then Fiona lives in Maharashtra and If Fiona lives in Anjangaon then Fiona lives in India,2
If Fiona lives in Anjangaon then Fiona lives in Maharashtra or If Fiona lives in Anjangaon then Fiona lives in India,3
If Fiona lives in Anjangaon then Fiona lives in India and If Fiona lives in Maharashtra then Fiona lives in India,4
If Fiona lives in Anjangaon then Fiona lives in Asia and If Fiona lives in Maharashtra then Fiona lives in Asia,4
If Fiona lives in Anjangaon then Fiona lives in India or If Fiona lives in Maharashtra then Fiona lives in India,5
If Fiona lives in Anjangaon then Fiona lives in Asia or If Fiona lives in Maharashtra then Fiona lives in Asia,5
If Julia lives in Anjarle then Julia lives in Maharashtra,1
If Julia lives in Anjarle then Julia lives in India,1
If Julia lives in Anjarle then Julia lives in Asia,1
If Julia lives in Maharashtra then Julia lives in India,1
If Julia lives in Maharashtra then Julia lives in Asia,1
If Julia lives in India then Julia lives in Asia,1
If Julia lives in Anjarle then Julia lives in Maharashtra and If Julia lives in Anjarle then Julia lives in India,2
If Julia lives in Anjarle then Julia lives in Maharashtra or If Julia lives in Anjarle then Julia lives in India,3
If Julia lives in Anjarle then Julia lives in India and If Julia lives in Maharashtra then Julia lives in India,4
If Julia lives in Anjarle then Julia lives in Asia and If Julia lives in Maharashtra then Julia lives in Asia,4
If Julia lives in Anjarle then Julia lives in India or If Julia lives in Maharashtra then Julia lives in India,5
If Julia lives in Anjarle then Julia lives in Asia or If Julia lives in Maharashtra then Julia lives in Asia,5
If Kevin lives in Anshing then Kevin lives in Maharashtra,1
If Kevin lives in Anshing then Kevin lives in India,1
If Kevin lives in Anshing then Kevin lives in Asia,1
If Kevin lives in Maharashtra then Kevin lives in India,1
If Kevin lives in Maharashtra then Kevin lives in Asia,1
If Kevin lives in India then Kevin lives in Asia,1
If Kevin lives in Anshing then Kevin lives in Maharashtra and If Kevin lives in Anshing then Kevin lives in India,2
If Kevin lives in Anshing then Kevin lives in Maharashtra or If Kevin lives in Anshing then Kevin lives in India,3
If Kevin lives in Anshing then Kevin lives in India and If Kevin lives in Maharashtra then Kevin lives in India,4
