Sentence
"If Paul lives in Shidamo, then Paul lives in Almera."
"If Quincy lives in Almera, then Quincy lives in Zelphar."
"If Leo lives in Zelphar, then Leo lives in Ziratha."
"If Ivy lives in Dazutani, then Ivy lives in Argon."
"If Nate lives in Tevaka, then Nate lives in Bayshire."
"If Jack lives in Bayshire, then Jack lives in Meridia."
"If Hank lives in Meridia, then Hank lives in Yenith."
"If Paul lives in Latemaso, then Paul lives in Urbia."
"If Grace lives in Urbia, then Grace lives in Voltria."
"If Mona lives in Voltria, then Mona lives in Ziratha."
"If Kara lives in Vasola, then Kara lives in Talsin."
"If Diana lives in Talsin, then Diana lives in Voltria."
"If Steve lives in Remo, then Steve lives in Bayshire."
"If Frank lives in Late, then Frank lives in Urbia."
"If Bob lives in Dada, then Bob lives in Argon."
"If Tracy lives in Argon, then Tracy lives in Sundarim."
"If Alice lives in Sundarim, then Alice lives in Eura."
"If Olivia lives in Kezu, then Olivia lives in Almera."
"If Paul lives in Almera, then Paul lives in Kandara."
"If Tracy lives in Kandara, then Tracy lives in Yenith."
"If Steve lives in Reta, then Steve lives in Mireford."
"If Alice lives in Mireford, then Alice lives in Meridia."
"If Steve lives in Vatepoke, then Steve lives in Talsin."
"If Quincy lives in Talsin, then Quincy lives in Balandia."
"If Mona lives in Balandia, then Mona lives in Vallora."
"If Steve lives in Dadabu, then Steve lives in Talsin."
"If Kara lives in Goshan, then Kara lives in Ardia."
"If Grace lives in Kezuta, then Grace lives in Vanguard."
"If Steve lives in Vanguard, then Steve lives in Zelphar."
"If Mona lives in Zelphar, then Mona lives in Xylandia."
"If Olivia lives in Kemareta, then Olivia lives in Vanguard."
"If Eve lives in Vanguard, then Eve lives in Meridia."
"If Diana lives in Kepomopo, then Diana lives in Urbia."
"If Steve lives in Urbia, then Steve lives in Sundarim."
"If Charlie lives in Sundarim, then Charlie lives in Vallora."
"If Hank lives in Lasodama, then Hank lives in Vanguard."
"If Nate lives in Moshivashi, then Nate lives in Vanguard."
"If Quincy lives in Vanguard, then Quincy lives in Kandara."
"If Ivy lives in Vazu, then Ivy lives in Nendora."
"If Eve lives in Nendora, then Eve lives in Voltria."
"If Diana lives in Voltria, then Diana lives in Yenith."
"If Rita lives in Nima, then Rita lives in Argon."
"If Leo lives in Argon, then Leo lives in Tirania."
"If Rita lives in Tirania, then Rita lives in Ziratha."
"If Charlie lives in Zutase, then Charlie lives in Almera."
"If Diana lives in Moponida, then Diana lives in Almera."
"If Jack lives in Nila, then Jack lives in Vanguard."
"If Quincy lives in Vanguard, then Quincy lives in Tirania."
"If Diana lives in Tirania, then Diana lives in Xylandia."
"If Jack lives in Pomo, then Jack lives in Talsin."
"If Alice lives in Talsin, then Alice lives in Tirania."
"If Rita lives in Tirania, then Rita lives in Eura."
"If Jack lives in Tere, then Jack lives in Talsin."
"If Mona lives in Talsin, then Mona lives in Vekharia."
"If Eve lives in Vekharia, then Eve lives in Ziratha."
"If Olivia lives in Nipodaso, then Olivia lives in Harrington."
"If Rita lives in Harrington, then Rita lives in Meridia."
"If Alice lives in Sobu, then Alice lives in Almera."
"If Steve lives in Almera, then Steve lives in Sundarim."
"If Tracy lives in Shisedama, then Tracy lives in Bayshire."
"If Frank lives in Bayshire, then Frank lives in Zelphar."
"If Tracy lives in Zelphar, then Tracy lives in Eura."
"If Rita lives in Shinizu, then Rita lives in Vanguard."
"If Ivy lives in Vanguard, then Ivy lives in Vekharia."
"If Paul lives in Poporeni, then Paul lives in Almera."
"If Mona lives in Almera, then Mona lives in Balandia."
"If Bob lives in Tabu, then Bob lives in Urbia."
"If Mona lives in Urbia, then Mona lives in Zelphar."
"If Diana lives in Tadapore, then Diana lives in Argon."
"If Alice lives in Nitateke, then Alice lives in Nendora."
"If Leo lives in Nendora, then Leo lives in Zelphar."
"If Alice lives in Zelphar, then Alice lives in Ardia."
"If Kara lives in Mamola, then Kara lives in Bayshire."
"If Leo lives in Kandara, then Leo lives in Ardia."
"If Tracy lives in Valalabu, then Tracy lives in Nendora."
"If Diana lives in Nendora, then Diana lives in Tirania."
"If Eve lives in Tirania, then Eve lives in Ardia."
"If Hank lives in Moda, then Hank lives in Argon."
"If Quincy lives in Mozu, then Quincy lives in Argon."
"If Quincy lives in Argon, then Quincy lives in Calinth."
"If Tracy lives in Calinth, then Tracy lives in Vallora."
"If Bob lives in Dala, then Bob lives in Urbia."
"If Diana lives in Urbia, then Diana lives in Goshan."
"If Rita lives in Bunilata, then Rita lives in Harrington."
"If Leo lives in Rezudata, then Leo lives in Nendora."
"If Leo lives in Bure, then Leo lives in Argon."
"If Eve lives in Niva, then Eve lives in Vanguard."
"If Ivy lives in Seshiso, then Ivy lives in Vanguard."
"If Grace lives in Keshi, then Grace lives in Landsworth."
"If Eve lives in Landsworth, then Eve lives in Zelphar."
"If Frank lives in Shida, then Frank lives in Bayshire."
"If Ivy lives in Bayshire, then Ivy lives in Sundarim."
"If Quincy lives in Sundarim, then Quincy lives in Yenith."
"If Hank lives in Zukasemo, then Hank lives in Landsworth."
"If Alice lives in Landsworth, then Alice lives in Voltria."
"If Olivia lives in Sela, then Olivia lives in Nendora."
"If Bob lives in Nendora, then Bob lives in Meridia."
"If Bob lives in Keni, then Bob lives in Bayshire."
"If Mona lives in Bayshire, then Mona lives in Calinth."
"If Diana lives in Calinth, then Diana lives in Xylandia."
"If Charlie lives in Teda, then Charlie lives in Argon."
"If Olivia lives in Soso, then Olivia lives in Urbia."
"If Tracy lives in Urbia, then Tracy lives in Tirania."
"If Nate lives in Tirania, then Nate lives in Vallora."
"If Quincy lives in Pobuta, then Quincy lives in Nendora."
"If Hank lives in Dakezuva, then Hank lives in Vanguard."
"If Grace lives in Vanguard, then Grace lives in Sundarim."
"If Rita lives in Mova, then Rita lives in Almera."
"If Diana lives in Kandara, then Diana lives in Vallora."
"If Paul lives in Nimarere, then Paul lives in Vanguard."
"If Leo lives in Lateseke, then Leo lives in Almera."
"If Eve lives in Kandara, then Eve lives in Eura."
"If Alice lives in Lake, then Alice lives in Nendora."
"If Steve lives in Nendora, then Steve lives in Sundarim."
"If Tracy lives in Sundarim, then Tracy lives in Ardia."
"If Tracy lives in Datapose, then Tracy lives in Urbia."
"If Diana lives in Sorekabu, then Diana lives in Mireford."
"If Diana lives in Meridia, then Diana lives in Eura."
"If Jack lives in Reda, then Jack lives in Almera."
"If Ivy lives in Almera, then Ivy lives in Calinth."
"If Olivia lives in Calinth, then Olivia lives in Eura."
"If Bob lives in Mosoni, then Bob lives in Landsworth."
"If Ivy lives in Sundarim, then Ivy lives in Xylandia."
"If Kara lives in Tatekada, then Kara lives in Mireford."
"If Ivy lives in Mireford, then Ivy lives in Sundarim."
"If Eve lives in Shishibuzu, then Eve lives in Almera."
"If Bob lives in Kadateni, then Bob lives in Vanguard."
"If Bob lives in Setema, then Bob lives in Landsworth."
"If Alice lives in Vekharia, then Alice lives in Eura."
"If Tracy lives in Kenika, then Tracy lives in Talsin."
"If Bob lives in Tamola, then Bob lives in Mireford."
"If Nate lives in Sepo, then Nate lives in Vanguard."
"If Jack lives in Vanguard, then Jack lives in Voltria."
"If Olivia lives in Kadamo, then Olivia lives in Landsworth."
"If Diana lives in Zelphar, then Diana lives in Yenith."
"If Diana lives in Mareshi, then Diana lives in Mireford."
"If Steve lives in Mireford, then Steve lives in Zelphar."
"If Grace lives in Dadamaso, then Grace lives in Urbia."
"If Mona lives in Tereva, then Mona lives in Nendora."
"If Rita lives in Nendora, then Rita lives in Calinth."
"If Frank lives in Calinth, then Frank lives in Ardia."
"If Olivia lives in Zutemata, then Olivia lives in Urbia."
"If Alice lives in Urbia, then Alice lives in Meridia."
"If Mona lives in Bumamo, then Mona lives in Almera."
"If Olivia lives in Almera, then Olivia lives in Vekharia."
"If Charlie lives in Posepo, then Charlie lives in Almera."
"If Steve lives in Tasovamo, then Steve lives in Almera."
"If Leo lives in Vaka, then Leo lives in Landsworth."
"If Olivia lives in Landsworth, then Olivia lives in Kandara."
"If Rita lives in Nikere, then Rita lives in Landsworth."
"If Bob lives in Landsworth, then Bob lives in Balandia."
"If Alice lives in Balandia, then Alice lives in Eura."
"If Ivy lives in Shizushita, then Ivy lives in Talsin."
"If Paul lives in Lamo, then Paul lives in Urbia."
"If Rita lives in Tani, then Rita lives in Bayshire."
"If Eve lives in Setekeshi, then Eve lives in Harrington."
"If Mona lives in Harrington, then Mona lives in Calinth."
"If Mona lives in Teseseka, then Mona lives in Urbia."
"If Quincy lives in Urbia, then Quincy lives in Vekharia."
"If Ivy lives in Sose, then Ivy lives in Bayshire."
"If Rita lives in Bayshire, then Rita lives in Goshan."
"If Mona lives in Remotaka, then Mona lives in Almera."
"If Steve lives in Almera, then Steve lives in Meridia."
"If Olivia lives in Sotamama, then Olivia lives in Landsworth."
"If Eve lives in Buzubuse, then Eve lives in Mireford."
"If Steve lives in Mireford, then Steve lives in Kandara."
"If Diana lives in Resota, then Diana lives in Landsworth."
"If Tracy lives in Temozute, then Tracy lives in Argon."
"If Steve lives in Lata, then Steve lives in Harrington."
"If Jack lives in Zupo, then Jack lives in Mireford."
"If Steve lives in Seso, then Steve lives in Urbia."
"If Ivy lives in Urbia, then Ivy lives in Kandara."
"If Ivy lives in Tasema, then Ivy lives in Almera."
"If Rita lives in Shibuteshi, then Rita lives in Mireford."
"If Diana lives in Meridia, then Diana lives in Ardia."
"If Mona lives in Soshika, then Mona lives in Talsin."
"If Charlie lives in Talsin, then Charlie lives in Sundarim."
"If Eve lives in Poposhi, then Eve lives in Almera."
"If Olivia lives in Kepomata, then Olivia lives in Almera."
"If Nate lives in Vekharia, then Nate lives in Ardia."
"If Rita lives in Latekete, then Rita lives in Argon."
"If Quincy lives in Argon, then Quincy lives in Balandia."
"If Kara lives in Balandia, then Kara lives in Ziratha."
"If Hank lives in Vatebuni, then Hank lives in Vanguard."
"If Rita lives in Semapo, then Rita lives in Landsworth."
"If Ivy lives in Landsworth, then Ivy lives in Tirania."
"If Charlie lives in Mamose, then Charlie lives in Argon."
"If Charlie lives in Meridia, then Charlie lives in Xylandia."
"If Alice lives in Mopo, then Alice lives in Landsworth."
"If Diana lives in Vatanite, then Diana lives in Bayshire."
"If Diana lives in Bayshire, then Diana lives in Voltria."
"If Grace lives in Tashisose, then Grace lives in Landsworth."
"If Hank lives in Kandara, then Hank lives in Ziratha."
"If Alice lives in Burela, then Alice lives in Bayshire."
"If Kara lives in Goshan, then Kara lives in Eura."
"If Jack lives in Rekese, then Jack lives in Vanguard."
"If Frank lives in Mashisema, then Frank lives in Harrington."
"If Quincy lives in Harrington, then Quincy lives in Sundarim."
"If Leo lives in Shike, then Leo lives in Harrington."
"If Grace lives in Harrington, then Grace lives in Goshan."
"If Bob lives in Mokevata, then Bob lives in Almera."
"If Charlie lives in Potebu, then Charlie lives in Argon."
"If Tracy lives in Argon, then Tracy lives in Kandara."
"If Ivy lives in Vatalazu, then Ivy lives in Vanguard."
"If Diana lives in Vanguard, then Diana lives in Balandia."
"If Bob lives in Poni, then Bob lives in Argon."
"If Leo lives in Mote, then Leo lives in Urbia."
"If Steve lives in Kakareva, then Steve lives in Talsin."
"If Ivy lives in Lalaposhi, then Ivy lives in Urbia."
"If Kara lives in Shikerela, then Kara lives in Bayshire."
"If Quincy lives in Motalava, then Quincy lives in Urbia."
"If Charlie lives in Shishi, then Charlie lives in Landsworth."
"If Olivia lives in Tirania, then Olivia lives in Yenith."
"If Alice lives in Davapota, then Alice lives in Talsin."
"If Charlie lives in Talsin, then Charlie lives in Kandara."
"If Mona lives in Sola, then Mona lives in Harrington."
"If Diana lives in Balandia, then Diana lives in Ardia."
"If Jack lives in Telase, then Jack lives in Talsin."
"If Hank lives in Zuta, then Hank lives in Landsworth."
"If Grace lives in Pozu, then Grace lives in Bayshire."
"If Charlie lives in Repomo, then Charlie lives in Almera."
"If Paul lives in Balandia, then Paul lives in Xylandia."
"If Rita lives in Taseshi, then Rita lives in Vanguard."
"If Charlie lives in Shisezushi, then Charlie lives in Vanguard."
"If Mona lives in Tase, then Mona lives in Mireford."
"If Diana lives in Mireford, then Diana lives in Goshan."
"If Paul lives in Telatela, then Paul lives in Nendora."
"If Frank lives in Nendora, then Frank lives in Goshan."
"If Olivia lives in Goshan, then Olivia lives in Vallora."
"If Mona lives in Butapo, then Mona lives in Talsin."
"If Eve lives in Vase, then Eve lives in Urbia."
"If Rita lives in Urbia, then Rita lives in Calinth."
"If Hank lives in Momo, then Hank lives in Nendora."
"If Eve lives in Bumo, then Eve lives in Landsworth."
"If Paul lives in Keshirere, then Paul lives in Almera."
"If Ivy lives in Kama, then Ivy lives in Talsin."
"If Kara lives in Talsin, then Kara lives in Calinth."
"If Frank lives in Kemo, then Frank lives in Talsin."
"If Leo lives in Butaso, then Leo lives in Nendora."
"If Kara lives in Vava, then Kara lives in Urbia."
"If Charlie lives in Poteta, then Charlie lives in Nendora."
"If Kara lives in Sorezushi, then Kara lives in Mireford."
"If Kara lives in Mireford, then Kara lives in Tirania."
"If Alice lives in Sekeshise, then Alice lives in Landsworth."
"If Grace lives in Mavani, then Grace lives in Almera."
"If Leo lives in Make, then Leo lives in Nendora."
"If Grace lives in Kemotere, then Grace lives in Vanguard."
"If Ivy lives in Nika, then Ivy lives in Talsin."
"If Ivy lives in Mokashi, then Ivy lives in Nendora."
"If Grace lives in Nendora, then Grace lives in Balandia."
"If Nate lives in Katema, then Nate lives in Talsin."
"If Grace lives in Momazu, then Grace lives in Harrington."
"If Kara lives in Seremo, then Kara lives in Urbia."
"If Paul lives in Tekapo, then Paul lives in Urbia."
"If Bob lives in Manivata, then Bob lives in Urbia."
"If Olivia lives in Relada, then Olivia lives in Almera."
"If Leo lives in Almera, then Leo lives in Goshan."
"If Charlie lives in Tapomani, then Charlie lives in Landsworth."
"If Nate lives in Motakela, then Nate lives in Argon."
"If Leo lives in Sova, then Leo lives in Vanguard."
"If Nate lives in Ninilala, then Nate lives in Almera."
"If Diana lives in Almera, then Diana lives in Voltria."
"If Ivy lives in Bulaka, then Ivy lives in Landsworth."
"If Tracy lives in Kekada, then Tracy lives in Urbia."
"If Hank lives in Shisesote, then Hank lives in Nendora."
"If Nate lives in Vanita, then Nate lives in Urbia."
"If Ivy lives in Soni, then Ivy lives in Almera."
"If Tracy lives in Shise, then Tracy lives in Mireford."
"If Nate lives in Vashi, then Nate lives in Argon."
"If Diana lives in Shimare, then Diana lives in Talsin."
"If Eve lives in Polashi, then Eve lives in Nendora."
"If Bob lives in Datama, then Bob lives in Talsin."
"If Frank lives in Shila, then Frank lives in Landsworth."
"If Quincy lives in Momaka, then Quincy lives in Vanguard."
"If Paul lives in Vekharia, then Paul lives in Xylandia."
"If Mona lives in Posemo, then Mona lives in Urbia."
"If Diana lives in Tekeni, then Diana lives in Mireford."
"If Jack lives in Posoke, then Jack lives in Bayshire."
"If Alice lives in Tasevani, then Alice lives in Urbia."
"If Tracy lives in Mavala, then Tracy lives in Nendora."
"If Kara lives in Zuke, then Kara lives in Mireford."
"If Nate lives in Mireford, then Nate lives in Vekharia."
"If Kara lives in Lateta, then Kara lives in Mireford."
"If Jack lives in Kenizuma, then Jack lives in Mireford."
"If Quincy lives in Dashi, then Quincy lives in Vanguard."
"If Frank lives in Bupore, then Frank lives in Landsworth."
"If Nate lives in Mobubuda, then Nate lives in Vanguard."
"If Quincy lives in Tasebu, then Quincy lives in Bayshire."
"If Diana lives in Pola, then Diana lives in Almera."
"If Nate lives in Vamo, then Nate lives in Mireford."
"If Steve lives in Nipozu, then Steve lives in Landsworth."
"If Paul lives in Lazu, then Paul lives in Vanguard."
"If Kara lives in Revashiso, then Kara lives in Urbia."
"If Steve lives in Dadava, then Steve lives in Landsworth."
"If Paul lives in Landsworth, then Paul lives in Calinth."
"If Jack lives in Tasepozu, then Jack lives in Talsin."
"If Alice lives in Mose, then Alice lives in Talsin."
"If Charlie lives in Sebubula, then Charlie lives in Nendora."
"If Eve lives in Karepo, then Eve lives in Bayshire."
"If Paul lives in Bayshire, then Paul lives in Balandia."
"If Charlie lives in Bupomada, then Charlie lives in Argon."
"If Charlie lives in Posela, then Charlie lives in Bayshire."
"If Leo lives in Bayshire, then Leo lives in Vekharia."
"If Ivy lives in Sozu, then Ivy lives in Landsworth."
"If Nate lives in Posesese, then Nate lives in Argon."
"If Eve lives in Nikazuse, then Eve lives in Harrington."
"If Rita lives in Harrington, then Rita lives in Vekharia."
"If Paul lives in Tamoshi, then Paul lives in Argon."
"If Jack lives in Sedabushi, then Jack lives in Landsworth."
"If Grace lives in Shita, then Grace lives in Argon."
"If Kara lives in Buta, then Kara lives in Mireford."
"If Quincy lives in Reke, then Quincy lives in Talsin."
"If Kara lives in Shire, then Kara lives in Urbia."
"If Rita lives in Poseva, then Rita lives in Harrington."
"If Olivia lives in Harrington, then Olivia lives in Kandara."
"If Jack lives in Taketa, then Jack lives in Mireford."
"If Mona lives in Mireford, then Mona lives in Balandia."
"If Jack lives in Vaporete, then Jack lives in Urbia."
"If Ivy lives in Relate, then Ivy lives in Almera."
"If Leo lives in Teteva, then Leo lives in Landsworth."
"If Charlie lives in Nitapoke, then Charlie lives in Almera."
"If Ivy lives in Shimo, then Ivy lives in Almera."
"If Nate lives in Reponi, then Nate lives in Bayshire."
"If Tracy lives in Lareseke, then Tracy lives in Talsin."
"If Frank lives in Lavani, then Frank lives in Bayshire."
"If Kara lives in Bayshire, then Kara lives in Tirania."
"If Bob lives in Dazuda, then Bob lives in Harrington."
"If Hank lives in Momobu, then Hank lives in Almera."
"If Frank lives in Tepo, then Frank lives in Bayshire."
"If Grace lives in Serela, then Grace lives in Harrington."
"If Ivy lives in Harrington, then Ivy lives in Zelphar."
"If Charlie lives in Tasebushi, then Charlie lives in Talsin."
"If Rita lives in Nike, then Rita lives in Nendora."
"If Frank lives in Zuzuzu, then Frank lives in Mireford."
"If Rita lives in Mireford, then Rita lives in Calinth."
"If Mona lives in Calinth, then Mona lives in Ziratha."
"If Frank lives in Morezula, then Frank lives in Harrington."
"If Bob lives in Revamo, then Bob lives in Almera."
"If Frank lives in Mokezu, then Frank lives in Urbia."
"If Jack lives in Povakema, then Jack lives in Vanguard."
"If Rita lives in Tese, then Rita lives in Vanguard."
"If Rita lives in Taso, then Rita lives in Landsworth."
"If Hank lives in Landsworth, then Hank lives in Goshan."
"If Diana lives in Laresoda, then Diana lives in Urbia."
"If Rita lives in Vapobumo, then Rita lives in Talsin."
"If Jack lives in Datapo, then Jack lives in Vanguard."
"If Grace lives in Bushimo, then Grace lives in Nendora."
"If Hank lives in Sesokapo, then Hank lives in Landsworth."
"If Kara lives in Kavava, then Kara lives in Bayshire."
"If Diana lives in Popo, then Diana lives in Vanguard."
"If Tracy lives in Buzuzuso, then Tracy lives in Nendora."
"If Diana lives in Shibu, then Diana lives in Bayshire."
"If Ivy lives in Danisoma, then Ivy lives in Talsin."
"If Grace lives in Take, then Grace lives in Argon."
"If Paul lives in Argon, then Paul lives in Vekharia."
"If Quincy lives in Sokabumo, then Quincy lives in Landsworth."
"If Quincy lives in Nishiteka, then Quincy lives in Nendora."
"If Mona lives in Sezumoso, then Mona lives in Mireford."
"If Kara lives in Kase, then Kara lives in Nendora."
"If Hank lives in Kashimo, then Hank lives in Bayshire."
"If Quincy lives in Kesoshi, then Quincy lives in Almera."
"If Frank lives in Tapote, then Frank lives in Urbia."
"If Alice lives in Remotabu, then Alice lives in Argon."
"If Charlie lives in Buzushi, then Charlie lives in Vanguard."
"If Charlie lives in Tavamaso, then Charlie lives in Talsin."
"If Charlie lives in Talsin, then Charlie lives in Zelphar."
"If Eve lives in Kese, then Eve lives in Mireford."
"If Quincy lives in Bukani, then Quincy lives in Nendora."
"If Alice lives in Kake, then Alice lives in Vanguard."
"If Jack lives in Kaso, then Jack lives in Bayshire."
"If Diana lives in Kareshi, then Diana lives in Vanguard."
"If Quincy lives in Vada, then Quincy lives in Vanguard."
"If Steve lives in Rezudada, then Steve lives in Mireford."
"If Hank lives in Posomoka, then Hank lives in Argon."
"If Olivia lives in Moseni, then Olivia lives in Almera."
"If Tracy lives in Shiva, then Tracy lives in Argon."
"If Quincy lives in Argon, then Quincy lives in Goshan."
"If Steve lives in Shizushi, then Steve lives in Talsin."
"If Diana lives in Temare, then Diana lives in Argon."
"If Grace lives in Soke, then Grace lives in Bayshire."
"If Kara lives in Kazuvashi, then Kara lives in Vanguard."
"If Kara lives in Tezuke, then Kara lives in Talsin."
"If Steve lives in Tesezure, then Steve lives in Bayshire."
"If Bob lives in Sorelazu, then Bob lives in Argon."
"If Tracy lives in Seseshi, then Tracy lives in Argon."
"If Hank lives in Lapo, then Hank lives in Bayshire."
"If Nate lives in Revaso, then Nate lives in Talsin."
"If Jack lives in Sotebu, then Jack lives in Harrington."
"If Nate lives in Kala, then Nate lives in Urbia."
"If Hank lives in Lamokase, then Hank lives in Argon."
"If Grace lives in Lasokeni, then Grace lives in Harrington."
"If Kara lives in Tarebuka, then Kara lives in Nendora."
"If Frank lives in Relasete, then Frank lives in Bayshire."
"If Paul lives in Kamoni, then Paul lives in Bayshire."
"If Quincy lives in Zuso, then Quincy lives in Urbia."
"If Eve lives in Urbia, then Eve lives in Balandia."
"If Alice lives in Nivabu, then Alice lives in Landsworth."
"If Mona lives in Lase, then Mona lives in Nendora."
"If Steve lives in Tasevada, then Steve lives in Argon."
"If Nate lives in Resemo, then Nate lives in Talsin."
"If Tracy lives in Kadasemo, then Tracy lives in Urbia."
"If Paul lives in Sovama, then Paul lives in Argon."
"If Diana lives in Seshi, then Diana lives in Landsworth."
"If Rita lives in Moreva, then Rita lives in Nendora."
"If Ivy lives in Sosopola, then Ivy lives in Bayshire."
"If Kara lives in Momovaka, then Kara lives in Argon."
"If Steve lives in Pokabu, then Steve lives in Nendora."
"If Quincy lives in Vaso, then Quincy lives in Urbia."
"If Mona lives in Nishi, then Mona lives in Harrington."
"If Diana lives in Pozuda, then Diana lives in Nendora."
"If Eve lives in Dase, then Eve lives in Bayshire."
"If Steve lives in Lazuseta, then Steve lives in Nendora."
"If Alice lives in Zusoke, then Alice lives in Vanguard."
"If Bob lives in Soma, then Bob lives in Almera."
"If Quincy lives in Shikakase, then Quincy lives in Almera."
"If Grace lives in Potabubu, then Grace lives in Almera."
"If Leo lives in Nibu, then Leo lives in Nendora."
"If Charlie lives in Somosete, then Charlie lives in Harrington."
"If Charlie lives in Busese, then Charlie lives in Bayshire."
"If Ivy lives in Sosova, then Ivy lives in Bayshire."
"If Leo lives in Lakama, then Leo lives in Landsworth."
"If Diana lives in Kanipoke, then Diana lives in Vanguard."
"If Leo lives in Nisezushi, then Leo lives in Vanguard."
"If Quincy lives in Retemava, then Quincy lives in Vanguard."
"If Grace lives in Dateso, then Grace lives in Argon."
"If Paul lives in Poseseda, then Paul lives in Almera."
"If Hank lives in Shiso, then Hank lives in Bayshire."
"If Bob lives in Kalakeka, then Bob lives in Urbia."
"If Grace lives in Kebuka, then Grace lives in Argon."
"If Alice lives in Tashi, then Alice lives in Mireford."
"If Olivia lives in Sosekeda, then Olivia lives in Argon."
"If Hank lives in Ladanipo, then Hank lives in Argon."
"If Paul lives in Kesemabu, then Paul lives in Landsworth."
"If Charlie lives in Sorela, then Charlie lives in Argon."
"If Eve lives in Tela, then Eve lives in Talsin."
"If Bob lives in Kamo, then Bob lives in Argon."
"If Rita lives in Shilare, then Rita lives in Talsin."
"If Mona lives in Kekaka, then Mona lives in Urbia."
"If Ivy lives in Bubu, then Ivy lives in Vanguard."
"If Ivy lives in Shipo, then Ivy lives in Nendora."
"If Alice lives in Masotada, then Alice lives in Harrington."
"If Quincy lives in Tazuma, then Quincy lives in Talsin."
"If Alice lives in Kavalazu, then Alice lives in Landsworth."
"If Diana lives in Vamani, then Diana lives in Bayshire."
"If Ivy lives in Vasemo, then Ivy lives in Almera."
"If Mona lives in Shimashini, then Mona lives in Landsworth."
"If Nate lives in Nite, then Nate lives in Bayshire."
"If Diana lives in Keshisopo, then Diana lives in Urbia."
"If Eve lives in Dakekebu, then Eve lives in Argon."
"If Mona lives in Povani, then Mona lives in Landsworth."
"If Charlie lives in Talakebu, then Charlie lives in Landsworth."
"If Jack lives in Shini, then Jack lives in Almera."
"If Diana lives in Shite, then Diana lives in Vanguard."
"If Ivy lives in Pokabuka, then Ivy lives in Harrington."
"If Kara lives in Keshipozu, then Kara lives in Argon."
"If Diana lives in Nizureke, then Diana lives in Harrington."
"If Eve lives in Temose, then Eve lives in Urbia."
"If Alice lives in Shikava, then Alice lives in Nendora."
"If Grace lives in Seka, then Grace lives in Mireford."
"If Leo lives in Seseshimo, then Leo lives in Almera."
"If Bob lives in Ninima, then Bob lives in Vanguard."
"If Alice lives in Kemote, then Alice lives in Argon."
"If Diana lives in Mamalashi, then Diana lives in Urbia."
"If Nate lives in Daso, then Nate lives in Argon."
"If Hank lives in Kepomama, then Hank lives in Landsworth."
"If Quincy lives in Sopo, then Quincy lives in Talsin."
"If Alice lives in Monipozu, then Alice lives in Urbia."
"If Leo lives in Tema, then Leo lives in Vanguard."
"If Eve lives in Kapo, then Eve lives in Mireford."
"If Mona lives in Poposhima, then Mona lives in Harrington."
"If Tracy lives in Soseva, then Tracy lives in Bayshire."
"If Rita lives in Zukatemo, then Rita lives in Landsworth."
